"age","n","ax","population","deaths"
0,1,0.1,32345.6,20.6953715751515
1,4,0.5,129382.4,82.781486300606
5,5,0.5,164162,14.0205545749587
10,5,0.5,150817,19.585718027562
15,5,0.5,150002,60.5934678986466
20,5,0.5,160338,76.1364351913441
25,5,0.5,184947,100.433684200409
30,5,0.5,194190,138.954330322308
35,5,0.5,173026,165.719719769674
40,5,0.5,172005,237.601578702139
45,5,0.5,172620,333.566195003576
50,5,0.5,162390,406.404725703141
55,5,0.5,149859,582.139299563742
60,5,0.5,132135,795.03159213535
65,5,0.5,116806,1093.43343673199
70,5,0.5,82865,1244.82831582304
75,5,0.5,61496,1634.58552459236
80,5,0.5,42619,2132.05441891458
85,11,0.5,42389,5527.4390877309
